No,model,dataset,acc_val,acc,'airliner','bicycle','Border collie','cup','dining table','elephant','folding chair','golden retriever','military plane','minibus','Persian cat','school_bus','speedboat','tabby cat','yawl'
0,EfficientNetV2B0,,0.8318299055099487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EfficientNetV2B0_10_0,,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,EfficientNetV2B0_10_0,ds_aug1,0.82,0.539,0.146,0.617,0.602,0.414,0.644,0.808,0.442,0.644,0.207,0.605,0.808,0.59,0.479,0.517,0.562
3,EfficientNetV2B0_10_0,test,0.82,0.827,0.831,0.858,0.789,0.816,0.828,0.893,0.719,0.862,0.659,0.851,0.881,0.893,0.885,0.716,0.93
4,EfficientNetV2B0_10_0,ds_aug2,0.82,0.257,0.015,0.207,0.149,0.471,0.398,0.559,0.3,0.241,0.027,0.318,0.456,0.169,0.18,0.276,0.079
5,EfficientNetV2B0_10_0,ds_aug3,0.82,0.068,0.0,0.0,0.0,0.9,0.031,0.05,0.012,0.0,0.0,0.004,0.011,0.0,0.004,0.008,0.0
6,EfficientNetV2B0_10_0,ds_aug4,0.82,0.068,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,EfficientNetV2B0_9_1,,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,EfficientNetV2B0_9_1,ds_aug1,0.77,0.69,0.533,0.743,0.782,0.625,0.625,0.632,0.638,0.843,0.64,0.801,0.552,0.824,0.785,0.487,0.86
9,EfficientNetV2B0_9_1,test,0.77,0.816,0.808,0.831,0.881,0.812,0.797,0.839,0.696,0.881,0.728,0.808,0.736,0.923,0.874,0.751,0.884
10,EfficientNetV2B0_9_1,ds_aug2,0.77,0.53,0.46,0.498,0.586,0.521,0.345,0.402,0.588,0.709,0.556,0.728,0.211,0.575,0.732,0.192,0.872
11,EfficientNetV2B0_9_1,ds_aug3,0.77,0.314,0.322,0.092,0.372,0.333,0.126,0.322,0.531,0.483,0.418,0.345,0.165,0.126,0.418,0.034,0.653
12,EfficientNetV2B0_9_1,ds_aug4,0.77,0.199,0.165,0.015,0.172,0.291,0.061,0.276,0.635,0.261,0.241,0.146,0.13,0.023,0.172,0.011,0.409
13,EfficientNetV2B0_8_2,,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,EfficientNetV2B0_8_2,ds_aug1,0.76,0.462,0.08,0.441,0.617,0.307,0.452,0.724,0.381,0.46,0.226,0.352,0.548,0.628,0.517,0.766,0.426
15,EfficientNetV2B0_8_2,test,0.76,0.809,0.766,0.828,0.866,0.782,0.778,0.862,0.696,0.847,0.628,0.805,0.785,0.908,0.839,0.828,0.934
16,EfficientNetV2B0_8_2,ds_aug2,0.76,0.199,0.015,0.161,0.192,0.272,0.211,0.448,0.319,0.119,0.042,0.042,0.203,0.222,0.103,0.579,0.045
17,EfficientNetV2B0_8_2,ds_aug3,0.76,0.063,0.0,0.0,0.0,0.755,0.011,0.004,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0
18,EfficientNetV2B0_8_2,ds_aug4,0.76,0.071,0.0,0.0,0.0,0.935,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,EfficientNetV2B0_10_0,ds_aug1,0.0,0.49,0.073,0.487,0.701,0.33,0.46,0.755,0.377,0.521,0.172,0.406,0.678,0.605,0.567,0.701,0.512
20,EfficientNetV2B0_10_0,test,0.0,0.807,0.766,0.812,0.854,0.782,0.801,0.847,0.688,0.828,0.678,0.816,0.847,0.885,0.854,0.736,0.921
21,EfficientNetV2B0_10_0,ds_aug2,0.0,0.227,0.004,0.215,0.28,0.284,0.195,0.433,0.258,0.176,0.077,0.069,0.261,0.234,0.203,0.648,0.058
22,EfficientNetV2B0_10_0,ds_aug3,0.0,0.063,0.0,0.0,0.0,0.774,0.0,0.034,0.027,0.0,0.0,0.0,0.004,0.0,0.004,0.092,0.0
23,EfficientNetV2B0_10_0,ds_aug4,0.0,0.068,0.0,0.0,0.0,0.977,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
24,EfficientNetV2B0_9_1,ds_aug1,0.0,0.678,0.429,0.72,0.766,0.586,0.682,0.816,0.442,0.72,0.556,0.793,0.724,0.908,0.667,0.575,0.789
25,EfficientNetV2B0_9_1,test,0.0,0.792,0.755,0.789,0.843,0.739,0.789,0.87,0.638,0.831,0.655,0.824,0.828,0.912,0.808,0.686,0.926
26,EfficientNetV2B0_9_1,ds_aug2,0.0,0.556,0.49,0.709,0.605,0.464,0.586,0.651,0.335,0.513,0.525,0.693,0.487,0.716,0.552,0.257,0.769
27,EfficientNetV2B0_9_1,ds_aug3,0.0,0.326,0.433,0.287,0.41,0.169,0.36,0.414,0.115,0.268,0.41,0.291,0.609,0.268,0.291,0.034,0.545
28,EfficientNetV2B0_9_1,ds_aug4,0.0,0.197,0.303,0.126,0.268,0.042,0.165,0.234,0.073,0.069,0.318,0.084,0.759,0.065,0.169,0.008,0.281
29,EfficientNetV2B0_8_2,ds_aug1,0.0,0.734,0.571,0.774,0.759,0.678,0.736,0.77,0.608,0.739,0.625,0.747,0.774,0.893,0.801,0.644,0.905
30,EfficientNetV2B0_8_2,test,0.0,0.799,0.789,0.854,0.805,0.747,0.805,0.847,0.642,0.82,0.686,0.797,0.82,0.897,0.843,0.705,0.934
31,EfficientNetV2B0_8_2,ds_aug2,0.0,0.628,0.567,0.674,0.628,0.582,0.674,0.693,0.492,0.571,0.521,0.686,0.582,0.77,0.686,0.437,0.868
32,EfficientNetV2B0_8_2,ds_aug3,0.0,0.412,0.487,0.23,0.452,0.333,0.479,0.529,0.304,0.245,0.303,0.456,0.533,0.364,0.498,0.326,0.657
33,EfficientNetV2B0_8_2,ds_aug4,0.0,0.272,0.398,0.084,0.215,0.203,0.276,0.402,0.246,0.126,0.203,0.245,0.46,0.192,0.341,0.264,0.434
34,EfficientNetV2B0_7_3,,0.7251933217048645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,EfficientNetV2B0_7_3,ds_aug1,0.0,0.721,0.69,0.782,0.743,0.632,0.713,0.774,0.6,0.693,0.579,0.747,0.808,0.835,0.762,0.567,0.905
36,EfficientNetV2B0_7_3,test,0.0,0.773,0.793,0.789,0.785,0.747,0.808,0.866,0.662,0.743,0.579,0.728,0.885,0.851,0.816,0.617,0.93
37,EfficientNetV2B0_7_3,ds_aug2,0.0,0.63,0.705,0.747,0.582,0.59,0.586,0.64,0.512,0.582,0.567,0.682,0.59,0.747,0.701,0.372,0.868
38,EfficientNetV2B0_7_3,ds_aug3,0.0,0.437,0.498,0.352,0.368,0.314,0.291,0.59,0.385,0.379,0.513,0.425,0.429,0.41,0.598,0.337,0.678
39,EfficientNetV2B0_7_3,ds_aug4,0.0,0.312,0.307,0.234,0.261,0.211,0.188,0.456,0.373,0.215,0.444,0.245,0.356,0.241,0.395,0.28,0.483
40,EfficientNetV2B0_6_4,,0.7135953903198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,EfficientNetV2B0_6_4,ds_aug1,0.0,0.742,0.64,0.793,0.801,0.651,0.728,0.831,0.55,0.682,0.644,0.778,0.766,0.912,0.805,0.651,0.917
42,EfficientNetV2B0_6_4,test,0.0,0.796,0.805,0.824,0.835,0.766,0.789,0.835,0.662,0.789,0.655,0.785,0.808,0.897,0.847,0.713,0.938
43,EfficientNetV2B0_6_4,ds_aug2,0.0,0.662,0.628,0.686,0.693,0.613,0.628,0.785,0.535,0.575,0.575,0.716,0.582,0.835,0.728,0.479,0.888
44,EfficientNetV2B0_6_4,ds_aug3,0.0,0.459,0.41,0.318,0.517,0.391,0.383,0.678,0.362,0.333,0.467,0.498,0.49,0.41,0.609,0.314,0.723
45,EfficientNetV2B0_6_4,ds_aug4,0.0,0.337,0.356,0.111,0.31,0.253,0.257,0.609,0.254,0.18,0.452,0.314,0.41,0.241,0.464,0.257,0.603
46,EfficientNetV2B0_5_5,,0.7068299055099487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,EfficientNetV2B0_5_5,ds_aug1,0.0,0.737,0.586,0.77,0.762,0.736,0.72,0.805,0.619,0.736,0.663,0.732,0.739,0.87,0.805,0.613,0.913
48,EfficientNetV2B0_5_5,test,0.0,0.777,0.659,0.801,0.816,0.782,0.793,0.851,0.631,0.812,0.693,0.72,0.797,0.92,0.808,0.651,0.938
49,EfficientNetV2B0_5_5,ds_aug2,0.0,0.67,0.582,0.766,0.663,0.686,0.598,0.743,0.558,0.659,0.628,0.69,0.54,0.824,0.774,0.452,0.897
50,EfficientNetV2B0_5_5,ds_aug3,0.0,0.488,0.437,0.467,0.521,0.437,0.341,0.575,0.427,0.479,0.483,0.54,0.402,0.475,0.674,0.318,0.756
51,EfficientNetV2B0_5_5,ds_aug4,0.0,0.365,0.326,0.268,0.341,0.345,0.241,0.464,0.354,0.318,0.433,0.341,0.322,0.307,0.575,0.234,0.62
52,EfficientNetV2B0_4_6,,0.6849226951599121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,EfficientNetV2B0_4_6,ds_aug1,0.0,0.734,0.697,0.797,0.728,0.686,0.736,0.82,0.596,0.678,0.621,0.72,0.785,0.889,0.766,0.605,0.901
54,EfficientNetV2B0_4_6,test,0.0,0.762,0.751,0.824,0.774,0.713,0.808,0.839,0.596,0.739,0.598,0.732,0.816,0.912,0.808,0.613,0.917
55,EfficientNetV2B0_4_6,ds_aug2,0.0,0.67,0.678,0.736,0.663,0.602,0.64,0.766,0.542,0.59,0.59,0.701,0.64,0.805,0.739,0.483,0.893
56,EfficientNetV2B0_4_6,ds_aug3,0.0,0.435,0.586,0.318,0.406,0.414,0.36,0.552,0.323,0.414,0.548,0.444,0.441,0.291,0.529,0.192,0.723
57,EfficientNetV2B0_4_6,ds_aug4,0.0,0.302,0.414,0.134,0.245,0.257,0.272,0.368,0.231,0.234,0.582,0.264,0.303,0.184,0.418,0.1,0.545
58,EfficientNetV2B0_3_7,,0.6701030731201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,EfficientNetV2B0_3_7,ds_aug1,0.0,0.725,0.693,0.743,0.782,0.686,0.736,0.805,0.523,0.674,0.602,0.782,0.801,0.877,0.766,0.506,0.909
60,EfficientNetV2B0_3_7,test,0.0,0.748,0.736,0.759,0.793,0.732,0.816,0.797,0.565,0.678,0.621,0.762,0.793,0.885,0.805,0.575,0.921
61,EfficientNetV2B0_3_7,ds_aug2,0.0,0.663,0.697,0.674,0.69,0.651,0.579,0.759,0.465,0.605,0.586,0.709,0.705,0.762,0.778,0.395,0.913
62,EfficientNetV2B0_3_7,ds_aug3,0.0,0.417,0.54,0.28,0.375,0.421,0.349,0.471,0.315,0.41,0.536,0.49,0.36,0.28,0.582,0.157,0.711
63,EfficientNetV2B0_3_7,ds_aug4,0.0,0.287,0.421,0.146,0.23,0.264,0.222,0.291,0.2,0.199,0.621,0.268,0.203,0.161,0.479,0.092,0.525
64,EfficientNetV2B0_2_8,,0.5019329786300659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,EfficientNetV2B0_2_8,ds_aug1,0.0,0.61,0.586,0.506,0.736,0.513,0.632,0.693,0.288,0.644,0.502,0.743,0.778,0.755,0.663,0.253,0.88
66,EfficientNetV2B0_2_8,test,0.0,0.61,0.598,0.471,0.72,0.448,0.724,0.743,0.304,0.64,0.529,0.743,0.782,0.705,0.613,0.257,0.888
67,EfficientNetV2B0_2_8,ds_aug2,0.0,0.555,0.521,0.536,0.697,0.517,0.444,0.59,0.25,0.498,0.51,0.674,0.559,0.759,0.709,0.199,0.876
68,EfficientNetV2B0_2_8,ds_aug3,0.0,0.305,0.433,0.157,0.36,0.303,0.126,0.226,0.208,0.142,0.559,0.284,0.253,0.299,0.544,0.038,0.674
69,EfficientNetV2B0_2_8,ds_aug4,0.0,0.186,0.387,0.042,0.134,0.18,0.054,0.054,0.123,0.019,0.682,0.13,0.119,0.134,0.333,0.008,0.413
70,EfficientNetV2B0_1_9,,0.6349871158599854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,EfficientNetV2B0_1_9,ds_aug1,0.0,0.704,0.678,0.782,0.747,0.674,0.693,0.789,0.562,0.663,0.567,0.713,0.72,0.874,0.759,0.448,0.905
72,EfficientNetV2B0_1_9,test,0.0,0.713,0.651,0.755,0.755,0.686,0.72,0.801,0.554,0.64,0.59,0.686,0.766,0.874,0.789,0.533,0.913
73,EfficientNetV2B0_1_9,ds_aug2,0.0,0.663,0.667,0.766,0.67,0.644,0.59,0.728,0.531,0.594,0.59,0.709,0.628,0.839,0.751,0.364,0.893
74,EfficientNetV2B0_1_9,ds_aug3,0.0,0.452,0.502,0.395,0.418,0.437,0.368,0.525,0.373,0.448,0.513,0.425,0.464,0.379,0.628,0.195,0.727
75,EfficientNetV2B0_1_9,ds_aug4,0.0,0.315,0.398,0.184,0.234,0.322,0.249,0.33,0.246,0.249,0.567,0.215,0.398,0.218,0.467,0.107,0.554
76,EfficientNetV2B0_0_10,,0.6346649527549744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,EfficientNetV2B0_0_10,ds_aug1,0.0,0.692,0.64,0.674,0.644,0.69,0.686,0.789,0.619,0.682,0.598,0.667,0.701,0.828,0.705,0.575,0.897
78,EfficientNetV2B0_0_10,test,0.0,0.632,0.513,0.621,0.644,0.72,0.69,0.617,0.658,0.648,0.651,0.559,0.613,0.709,0.544,0.456,0.851
79,EfficientNetV2B0_0_10,ds_aug2,0.0,0.628,0.655,0.709,0.586,0.605,0.521,0.701,0.573,0.59,0.544,0.663,0.525,0.686,0.755,0.448,0.872
80,EfficientNetV2B0_0_10,ds_aug3,0.0,0.362,0.456,0.284,0.249,0.487,0.218,0.372,0.488,0.398,0.529,0.249,0.215,0.192,0.579,0.103,0.632
81,EfficientNetV2B0_0_10,ds_aug4,0.0,0.24,0.291,0.13,0.134,0.337,0.115,0.161,0.388,0.172,0.648,0.153,0.115,0.107,0.437,0.054,0.368
82,EfficientNetV2B0_1_10_0,,0.813144326210022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,EfficientNetV2B0_1_10_0,ds_aug1,0.0,0.507,0.165,0.525,0.659,0.276,0.391,0.724,0.427,0.533,0.291,0.433,0.621,0.571,0.755,0.736,0.492
84,EfficientNetV2B0_1_10_0,test,0.0,0.817,0.82,0.847,0.839,0.782,0.762,0.835,0.735,0.874,0.644,0.808,0.851,0.9,0.854,0.782,0.926
85,EfficientNetV2B0_1_10_0,ds_aug2,0.0,0.207,0.019,0.192,0.241,0.28,0.1,0.552,0.273,0.18,0.057,0.023,0.172,0.119,0.375,0.479,0.029
86,EfficientNetV2B0_1_10_0,ds_aug3,0.0,0.066,0.0,0.004,0.0,0.82,0.0,0.1,0.0,0.0,0.0,0.0,0.008,0.0,0.019,0.038,0.0
87,EfficientNetV2B0_1_10_0,ds_aug4,0.0,0.066,0.0,0.0,0.0,0.981,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
88,EfficientNetV2B0_lr_10_0,,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,EfficientNetV2B0_lr_10_0,ds_aug1,0.0,0.507,0.103,0.452,0.709,0.406,0.483,0.801,0.369,0.464,0.272,0.544,0.644,0.67,0.51,0.686,0.483
90,EfficientNetV2B0_lr_10_0,test,0.0,0.803,0.693,0.816,0.847,0.812,0.812,0.87,0.665,0.835,0.69,0.797,0.831,0.889,0.816,0.736,0.946
91,EfficientNetV2B0_lr_10_0,ds_aug2,0.0,0.214,0.011,0.161,0.222,0.429,0.195,0.598,0.204,0.149,0.05,0.111,0.199,0.303,0.146,0.364,0.05
92,EfficientNetV2B0_lr_10_0,ds_aug3,0.0,0.065,0.0,0.0,0.0,0.885,0.0,0.034,0.035,0.0,0.0,0.0,0.0,0.004,0.004,0.008,0.0
93,EfficientNetV2B0_lr_10_0,ds_aug4,0.0,0.069,0.0,0.0,0.0,0.989,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ResNet50_10_0,,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,ResNet50_10_0,ds_aug1,0.82,0.394,0.054,0.253,0.433,0.18,0.556,0.464,0.423,0.475,0.146,0.533,0.556,0.529,0.207,0.877,0.207
96,ResNet50_10_0,test,0.82,0.82,0.774,0.843,0.843,0.828,0.812,0.874,0.696,0.851,0.716,0.805,0.828,0.908,0.812,0.801,0.917
97,ResNet50_10_0,ds_aug2,0.82,0.162,0.0,0.011,0.08,0.111,0.609,0.149,0.365,0.107,0.019,0.1,0.241,0.107,0.027,0.487,0.004
98,ResNet50_10_0,ds_aug3,0.82,0.065,0.0,0.0,0.0,0.222,0.559,0.0,0.185,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
99,ResNet50_10_0,ds_aug4,0.82,0.075,0.0,0.0,0.0,0.314,0.594,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,ResNet50_10_0,ds_aug1,0.0,0.356,0.073,0.299,0.548,0.215,0.307,0.33,0.296,0.345,0.165,0.421,0.471,0.521,0.241,0.893,0.207
101,ResNet50_10_0,test,0.0,0.812,0.759,0.847,0.881,0.812,0.705,0.854,0.696,0.808,0.697,0.854,0.797,0.866,0.877,0.835,0.901
102,ResNet50_10_0,ds_aug2,0.0,0.14,0.0,0.019,0.142,0.111,0.395,0.061,0.123,0.065,0.011,0.077,0.33,0.077,0.031,0.651,0.0
103,ResNet50_10_0,ds_aug3,0.0,0.066,0.0,0.0,0.0,0.533,0.406,0.0,0.004,0.0,0.0,0.0,0.011,0.0,0.0,0.031,0.0
104,ResNet50_10_0,ds_aug4,0.0,0.07,0.0,0.0,0.0,0.743,0.303,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0